Participant;Height;Age
1;1.77;25
2;1.88;26
3;1.65;24
4;1.8;26
5;1.43;27
6;1.7;23
7;1.54;51
8;1.8;26
9;1.86;23
10;1.96;24
11;1.7;25
12;1.83;24
13;1.75;26
14;1.76;24
15;1.77;25
16;1.64;26
17;1.7;28
18;1.74;30
19;1.72;25
20;1.75;23
21;1.7;22
22;1.69;25
23;1.58;21
24;1.67;20
25;1.8;19
26;1.68;22
27;1.8;24
28;1.96;21
29;1.69;25
30;1.62;28
31;1.7;25
32;1.8;25
33;1.74;25
34;1.63;25
35;1.65;21
36;1.85;25
37;1.78;20
38;1.54;27
39;1.81;24
40;1.69;59
41;1.74;25
42;1.61;27
43;1.63;19
44;1.76;20
45;1.8;22
46;1.7;24
47;1.69;24
48;1.71;24
49;1.77;28
50;1.7;28
